trial,threshold,use_synonyms,cobertura,recall,score
0,0.41971885755682703,False,1.0,0.4583333333333333,0.7291666666666666
1,0.2614055847790153,True,1.0,0.4583333333333333,0.7291666666666666
2,0.2218043671914133,False,1.0,0.4583333333333333,0.7291666666666666
3,0.2288632896093204,False,1.0,0.4583333333333333,0.7291666666666666
4,0.4426463317281929,True,1.0,0.4583333333333333,0.7291666666666666
5,0.7022689780743073,True,1.0,0.4583333333333333,0.7291666666666666
6,0.6284050073234915,False,1.0,0.4583333333333333,0.7291666666666666
7,0.8092084851530262,False,1.0,0.4583333333333333,0.7291666666666666
8,0.2726222708879744,False,1.0,0.4583333333333333,0.7291666666666666
9,0.37413194351648227,False,1.0,0.4583333333333333,0.7291666666666666
10,0.6628177130867838,False,1.0,0.4583333333333333,0.7291666666666666
11,0.5589179188880644,True,1.0,0.4583333333333333,0.7291666666666666
12,0.4075390208413352,False,1.0,0.4583333333333333,0.7291666666666666
13,0.4377130680436777,True,1.0,0.4583333333333333,0.7291666666666666
14,0.8439471443556318,False,1.0,0.4583333333333333,0.7291666666666666
15,0.1507581598674187,True,1.0,0.4583333333333333,0.7291666666666666
16,0.788622388595,False,1.0,0.4583333333333333,0.7291666666666666
17,0.5640986930954095,False,1.0,0.4583333333333333,0.7291666666666666
18,0.8897605784103809,False,1.0,0.4583333333333333,0.7291666666666666
19,0.14084712648592107,False,1.0,0.4583333333333333,0.7291666666666666
20,0.1056468457615532,False,1.0,0.4583333333333333,0.7291666666666666
21,0.44228643458315453,False,1.0,0.4583333333333333,0.7291666666666666
22,0.6781768834890587,False,1.0,0.4583333333333333,0.7291666666666666
23,0.7006689632573408,True,1.0,0.4583333333333333,0.7291666666666666
24,0.5815270332667944,False,1.0,0.4583333333333333,0.7291666666666666
25,0.8266370851275778,True,1.0,0.4583333333333333,0.7291666666666666
26,0.45152683629319756,False,1.0,0.4583333333333333,0.7291666666666666
27,0.28061148842549366,False,1.0,0.4583333333333333,0.7291666666666666
28,0.3648498028096444,False,1.0,0.4583333333333333,0.7291666666666666
29,0.7492556748692046,False,1.0,0.4583333333333333,0.7291666666666666
30,0.6723620530165857,False,1.0,0.4583333333333333,0.7291666666666666
31,0.12409241209798055,False,1.0,0.4583333333333333,0.7291666666666666
32,0.5825213477193796,False,1.0,0.4583333333333333,0.7291666666666666
33,0.21532277257676152,False,1.0,0.4583333333333333,0.7291666666666666
34,0.4609098000714317,False,1.0,0.4583333333333333,0.7291666666666666
35,0.24279821226811374,True,1.0,0.4583333333333333,0.7291666666666666
36,0.5481990687011298,True,1.0,0.4583333333333333,0.7291666666666666
37,0.4780518059002402,True,1.0,0.4583333333333333,0.7291666666666666
38,0.2613942145388298,True,1.0,0.4583333333333333,0.7291666666666666
39,0.3815703039282917,True,1.0,0.4583333333333333,0.7291666666666666
