trial,threshold,use_synonyms,score
0,0.1418648806073839,False,0.7291666666666666
1,0.5551534600626185,True,0.7291666666666666
2,0.16650391673433412,True,0.7291666666666666
3,0.6593437515003179,False,0.7291666666666666
4,0.14370795674794323,True,0.7291666666666666
5,0.6545765253858502,True,0.7291666666666666
6,0.3400572439514308,True,0.7291666666666666
7,0.7928516814631423,False,0.7291666666666666
8,0.7291803863736132,False,0.7291666666666666
9,0.3754628714451246,True,0.7291666666666666
10,0.370651552442281,False,0.7291666666666666
11,0.5251581459330459,False,0.7291666666666666
12,0.5306557915799586,False,0.7291666666666666
13,0.25985105417340626,True,0.7291666666666666
14,0.4694923834521872,True,0.7291666666666666
15,0.8816049792224233,False,0.7291666666666666
16,0.5904600343489042,True,0.7291666666666666
17,0.2506694998300303,False,0.7291666666666666
18,0.45011327774677823,True,0.7291666666666666
19,0.2484701754130425,False,0.7291666666666666
