variant,nl,exact_match,latency_ms
baseline,filtra transacciones cuyo Total sea mayor a 200,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 250,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 430,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 700,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 300,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 200,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 100,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 80,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 50,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 999,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 500,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 250,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 50,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 50,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 250,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 100,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 250,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 300,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 500,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 50,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 250,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 50,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 100,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 999,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 100,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 200,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 200,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 250,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 300,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 500,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 300,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 500,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 100,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 150,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 500,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 300,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 300,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 430,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 50,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 700,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 80,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 200,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 100,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 999,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 250,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 200,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 500,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 500,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 250,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 500,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 999,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 100,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 250,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 300,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 300,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 200,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 80,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 250,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 999,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 700,True,0.000
baseline,filtra transacciones cuyo Total sea mayor a 300,True,0.000
