Colección,Instrucción,Esperado,Generado,Aciertos,Errores,Precisión_semántica
empleados,muestra el precio promedio de los productos,"['producto', 'precio']",['campo_no_encontrado'],[],"['producto', 'precio']",
productos,cuenta cuántos productos hay por proveedor,"['producto', 'proveedor']",['campo_no_encontrado'],[],"['producto', 'proveedor']",
clientes,muestra los 5 productos más vendidos,"['producto', 'ventas']","['producto', 'total_vendidos', '_id']",['producto'],['ventas'],0.5
ventas,cuenta cuántos empleados hay en cada departamento,"['empleado', 'departamento']","['departamento', 'count', '_id']",['departamento'],['empleado'],0.5
departamentos,muestra el precio promedio de los productos,"['producto', 'precio']",['campo_no_encontrado'],[],"['producto', 'precio']",
empleados,cuál es el cliente con más compras,"['cliente', 'compras']",['campo_no_encontrado'],[],"['cliente', 'compras']",
productos,cuál es el cliente con más compras,"['cliente', 'compras']",['campo_no_encontrado'],[],"['cliente', 'compras']",
departamentos,muestra los productos más vendidos,"['producto', 'ventas']","['vendidos', 'productos', 'más']",[],"['producto', 'ventas']",
empleados,muestra los productos vendidos en el último mes,"['producto', 'fecha_venta']","['mes', 'productos', 'último', 'vendidos', 'en', 'el']",[],"['producto', 'fecha_venta']",
empleados,muestra los productos vendidos en el último mes,"['producto', 'fecha_venta']","['mes', 'productos', 'último', 'vendidos', 'en', 'el']",[],"['producto', 'fecha_venta']",
productos,lista los productos con descuento,"['producto', 'descuento']",['campo_no_encontrado'],[],"['producto', 'descuento']",
departamentos,une la colección ventas con clientes usando cliente_id y proyecta nombre_cliente y total_venta,"['nombre_cliente', 'total_venta']","['nombre_cliente', 'total_venta']","['nombre_cliente', 'total_venta']",[],1.0
ventas,muestra los empleados con mayor antigüedad,"['empleado', 'antiguedad']","['con', 'antigüedad', 'mayor']",[],"['empleado', 'antiguedad']",
productos,muestra los 5 productos más vendidos,"['producto', 'ventas']","['producto', 'total_vendidos', '_id']",['producto'],['ventas'],0.5
departamentos,cuál es el cliente con más compras,"['cliente', 'compras']",['campo_no_encontrado'],[],"['cliente', 'compras']",
